City,State,Cost of Living Index
Aberdeen,WA,95.5
Abilene,TX,89.6
Adrian,MI,89.9
Akron,OH,90.8
Alamogordo,NM,86.5
Albany,GA,88.9
Albany,OR,106
Albany,NY,101.6
Albertville,AL,89.2
Albuquerque,NM,94.5
Alexandria,LA,87.3
Allentown,PA,100.2
Altoona,PA,92.4
Amarillo,TX,89.1
Ames,IA,92.3
Anchorage,AK,113.6
Ann Arbor,MI,99.7
Anniston,AL,86.9
Appleton,WI,91.6
Asheville,NC,105.5
Ashtabula,OH,87.9
Athens,OH,88.8
Athens,TX,90.6
Athens,GA,96.3
Atlanta,GA,102.1
Atlantic City,NJ,103.6
Auburn,NY,93.8
Auburn,AL,93.5
Augusta,GA,93.2
Augusta,ME,99.2
Austin,TX,107.7
Bakersfield,CA,103.6
Baltimore,MD,109.7
Bangor,ME,98.4
Barnstable Town,MA,123.1
Baton Rouge,LA,92.3
Battle Creek,MI,86.3
Bay City,MI,85.6
Beaumont,TX,89.6
Beaver Dam,WI,92.2
Beckley,WV,78.8
Bellingham,WA,112
Bend,OR,116.3
Billings,MT,97.4
Binghamton,NY,94.4
Birmingham,AL,91.7
Bismarck,ND,95.4
Blacksburg,VA,96.7
Bloomington,IN,93.1
Bloomsburg,PA,94.6
Bluefield,WV,80.5
Boise City,ID,99.7
Boston,MA,135.3
Boulder,CO,123.5
Bowling Green,KY,89
Bozeman,MT,123.3
Brainerd,MN,98.5
Branson,MO,89.4
Bremerton,WA,115.4
Brownsville,TX,88.8
Brunswick,GA,95.8
Buffalo,NY,97.9
Burlington,NC,93.1
Burlington,VT,114.3
Canton,OH,89.7
Cape Girardeau,MO,89.2
Carbondale,IL,83.7
Carson City,NV,104.5
Casper,WY,96.4
Cedar Rapids,IA,89.2
Centralia,WA,101.8
Chambersburg,PA,96.9
Champaign,IL,90.6
Charleston,WV,84.8
Charleston,SC,103.7
Charlotte,NC,99.4
Charlottesville,VA,104.7
Chattanooga,TN,92.6
Cheyenne,WY,99.6
Chicago,IL,102
Chico,CA,111.2
Chillicothe,OH,90.2
Cincinnati,OH,93.2
Claremont,NH,102.6
Clarksburg,WV,82.7
Clarksville,TN,90.4
Clearlake,CA,108.6
Cleveland,TN,90.7
Cleveland,OH,91.4
Coeur d'Alene,ID,103.8
College Station,TX,93.9
Colorado Springs,CO,104.1
Columbia,MO,91.6
Columbia,SC,93
Columbus,GA,89.4
Columbus,IN,89.9
Columbus,OH,95.5
Concord,NH,108.1
Cookeville,TN,90.2
Coos Bay,OR,101.6
Corning,NY,91
Corpus Christi,TX,94
